AARS2
ABCB1
ABL1
ACVR1B
ADAM10
ADCY1
ADORA2A
AHNAK2
AJUBA
AKAP9
AK9
AKT1
AMPH
ANAPC1
ANKRD12
APAF1
APC
AR
ARHGAP32
ARHGAP35
ARHGEF6
ARID1A
ARID2
ARID5B
ASPM
ASXL1
ATG13
ATM
ATR
ATRX
AXIN2
B2M
BAP1
BARD1
BCLAF1
BCOR
BLM
BRAF
BRCA1
BRCA2
BUB1B
CAD
CARM1
CASP8
CAST
CBFB
CCAR1
CCND1
CDC73
CDH1
CDK12
CDKN1A
CDKN1B
CDKN2A
CDKN2C
CEBPA
CFH
CHD4
CHD8
CHEK2
CIC
CLIP1
CLTC
CLTCL1
COL18A1
CREB1
CRTC1
CRTC3
CSDE1
CTCF
CTNNB1
CTNND1
CTTN
CUL1
CYLD
DDX5
DHX9
DICER1
DMD
DNMT3A
DOCK2
EEF1A1
EGFR
EIF4A2
ELF3
EP300
ERBB2
ERBIN
ERCC2
ESR1
EWSR1
EZH2
FANCA
FBN2
FBXO11
FBXW7
FES
FGFR2
FGFR3
FLT3
FN1
FOXA1
FOXA2
FRG1BP
GATA3
GNAI1
GNAS
GOLGA5
GOT2
GPHN
GPS2
GTF2H1
H3F3C
HGF
HLA-A
HLA-B
HMGXB4
HRAS
HSP90AB1
HSPA8
HUWE1
IDH1
IDH2
IRS2
ITGA6
JAK2
KALRN
KDM5C
KDM6A
KEAP1
KIAA1109
KIFC3
KIT
KRAS
LCP1
LEPR
LIFR
LPP
LRRK2
LUM
LYN
LZTR1
MALAT1
MAP2K4
MAP3K1
MAP3K3
MAP3K4
MAPK8IP1
MAST2
MATK
MAX
MDC1
MECOM
MED12
MED13
MED17
MEF2A
METTL14
KMT2A
KMT2D
KMT2C
MLLT10
MLLT3
AFDN
MMP2
MN1
MSN
MST1
MTOR
MYB
MYH9
NAV3
NBPF10
NCOA3
NCOA4
NCOR1
NCOR2
NEB
NEDD4L
NF1
NFE2L2
NIN
NLRP3
NONO
NOTCH1
NPM1
NR1H2
NR4A2
NRAS
NSD1
NUMA1
NUP214
NUP93
NUP98
PABPC1
PBRM1
PCBP1
PCM1
PDGFRA
PHF6
PHLDA1
PIK3CA
PIK3CB
PIK3CG
PIK3R1
PIP5K1A
PLCG1
PLEC
POTEF
PPP2R1A
PRKAR1A
PRKCD
PRPF8
PSEN1
PTEN
PTPN11
RAC1
RAD21
RANBP2
RANBP3
RASA1
RB1
RBMX
RHEB
RHOA
RNF213
RNF43
RPGR
RPL22
RPL5
RPSAP58
RUNX1
RXRA
SETD2
SF3B1
SGK1
SIN3A
SMAD2
SMAD4
SMARCA4
SMC1A
SMC3
SOS1
SOX17
SPATA6
SPEN
SPOP
STAG2
STAT3
STK11
SUZ12
SYNE1
TAF1
TBL1XR1
TBX3
TCF12
TCF7
TCF7L2
TET2
TFDP1
TGFBR2
TGIF1
TJP2
TNFRSF10C
TOM1
TOP3A
TP53
TP53BP1
TPR
TRIM7
TRIO
TRIP11
TSC2
TUBA1A
TXNIP
U2AF1
UHRF1BP1L
VHL
NSD2
NSD3
WRN
WT1
ZFHX3
ZFP36L1
ZFP36L2
ZMYM2
ZNF132
ZNF300
ZNF814
ZNF844
ZNF91
ABI1
ABL2
ACKR3
ACSL3
ACSL6
ACVR1
ACVR2A
AFF1
AFF3
AFF4
AKT2
ALDH2
ALK
AMER1
APOBEC3B
ARHGAP26
ARHGEF12
ARID1B
ARNT
ASPSCR1
ATF1
ATIC
ATP1A1
ATP2B3
AXIN1
BCL10
BCL11A
BCL11B
BCL2
BCL3
BCL5
BCL6
BCL7A
BCL9
BCL9L
BCORL1
BCR
BIRC3
BMPR1A
BRD3
BRD4
BRIP1
BTG1
BTK
C12orf9
C15orf65
C2orf44
CACNA1D
CALR
CAMTA1
CANT1
CARD11
CARS
CASC5
CBFA2T3
CBL
CBLB
CBLC
CCDC6
CCNB1IP1
CCND2
CCND3
CCNE1
CD274
CD74
CD79A
CD79B
CDH11
CDK4
CDK6
CDKN2A(p14)
CDX2
CEP89
CHCHD7
CHIC2
CIITA
CLP1
CNBP
CNOT3
CNTRL
COL1A1
COL2A1
COX6C
CREB3L1
CREB3L2
CREBBP
CRLF2
CSF3R
CUX1
CXCR4
DAXX
DCTN1
DDB2
DDIT3
DDR2
DDX10
DDX3X
DDX6
DEK
DNAJB1
DNM2
DROSHA
DUX4L1
EBF1
ECT2L
EIF3E
ELF4
ELK4
ELL
ELN
EML4
EPAS1
EPS15
ERBB3
ERBB4
ERC1
ERCC3
ERCC4
ERCC5
ERG
ETNK1
ETV1
ETV4
ETV5
ETV6
EXT1
EXT2
EZR
FAM131B
FAM46C
FANCC
FANCD2
FANCE
FANCF
FANCG
FAS
FAT1
FAT4
FCGR2B
FCRL4
FEV
FGFR1
FGFR1OP
FGFR4
FH
FHIT
FIP1L1
FLCN
FLI1
FLT4
FNBP1
FOXL2
FOXO1
FOXO3
FOXO4
FOXP1
FSTL3
FUBP1
FUS
GAS7
GATA1
GATA2
GMPS
GNA11
GNAQ
GOPC
GPC3
GRIN2A
H3F3A
H3F3B
HERPUD1
HEY1
HIF1A
HIP1
HIST1H3B
HIST1H4I
HLF
HMGA1
HMGA2
HMGN2P46
HNF1A
HNRNPA2B1
HOOK3
HOXA11
HOXA13
HOXA9
HOXC11
HOXC13
HOXD11
HOXD13
HSP90AA1
IGH
IGK
IGL
IKBKB
IKZF1
IL2
IL21R
IL6ST
IL7R
IRF4
ITK
JAK1
JAK3
JAZF1
JUN
KAT6A
KAT6B
KCNJ5
KDM5A
KDR
KDSR
KIAA1549
KIAA1598
KIF5B
KLF4
KLF6
KLK2
KTN1
LASP1
LCK
LEF1
LHFP
LMNA
LMO1
LMO2
LRIG3
LRP1B
LSM14A
LYL1
MAF
MAFB
MALT1
MAML2
MAP2K1
MAP2K2
MAP3K13
MAPK1
MDM2
MDM4
MDS2
MEN1
MET
MITF
MKL1
MLF1
MLH1
MLLT1
MLLT11
MLLT4
MLLT6
MNX1
MPL
MSH2
MSH6
MSI2
MTCP1
MUC1
MUTYH
MYC
MYCL
MYCN
MYD88
MYH11
MYO5A
MYOD1
NAB2
NACA
NBN
NCKIPSD
NCOA1
NCOA2
NDRG1
NF2
NFATC2
NFIB
NFKB2
NFKBIE
NKX2-1
NOTCH2
NR4A3
NRG1
NT5C2
NTRK1
NTRK3
NUTM1
NUTM2A
NUTM2B
OLIG2
OMD
P2RY8
PAFAH1B2
PALB2
PAX3
PAX5
PAX7
PAX8
PBX1
PCSK7
PDCD1LG2
PDE4DIP
PDGFB
PDGFRB
PER1
PHOX2B
PICALM
PIM1
PLAG1
PML
PMS1
PMS2
POLE
POT1
POU2AF1
POU5F1
PPARG
PPFIBP1
PPM1D
PPP6C
PRCC
PRDM1
PRDM16
PREX2
PRF1
PRKACA
PRRX1
PSIP1
PTCH1
PTK6
PTPN13
PTPRB
PTPRC
PTPRK
PTPRT
PWWP2A
QKI
RABEP1
RAD51B
RAF1
RALGDS
RANBP17
RAP1GDS1
RARA
RBM10
RBM15
RECQL4
REL
RET
RHOH
RMI2
RNF217-AS1
ROS1
RPL10
RPN1
RSPO2
RSPO3
RUNDC2A
RUNX1T1
SALL4
SBDS
SDC4
SDHA
SDHAF2
SDHB
SDHC
SDHD
5-Sep
6-Sep
9-Sep
SET
SETBP1
SFPQ
SFRP4
SH2B3
SH3GL1
SLC34A2
SLC45A3
SMAD3
SMARCB1
SMARCD1
SMARCE1
SMO
SND1
SOCS1
SOX2
SPECC1
SRC
SRGAP3
SRSF2
SRSF3
SS18
SS18L1
SSX1
SSX2
SSX4
STAT5B
STAT6
STIL
STRN
SUFU
SYK
TAF15
TAL1
TAL2
TCEA1
TCF3
TCL1A
TCL6
TERT
